部首編號,筆畫數,漢字,總筆劃,說文解字
1,0,一,1,惟初太始，道立於一，造分天地，化成萬物。凡一之屬皆从一。弌，古文一。 〔於悉切〕 (7 / 1)
1,1,丁,2,夏時萬物皆丁實。象形。丁承丙，象人心。凡丁之屬皆从丁。 〔當經切〕 (308 / 310)
1,1,丂,2,气欲舒出，ㄅ上礙於一也。丂，古文以爲亏字，又以爲巧字。凡丂之屬皆从丂。 〔苦浩切〕 (101 / 96)
1,1,七,2,陽之正也。从一，微陰从中衺出也。凡七之屬皆从七。 〔親吉切〕 (307 / 309)
1,2,万,3,
1,2,丈,3,十尺也。从又持十。 〔直兩切〕 (50 / 45)
1,2,三,3,天地人之道也。从三數。凡三之屬皆从三。弎，古文三从弋。 〔穌甘切〕 (9 / 3)
1,2,上,3,高也。此古文上，指事也。凡丄之屬皆从丄。上，篆文丄。 〔時掌切〕 (7 / 1)
1,2,下,3,底也。指事。下，篆文丅。 〔胡雅切〕 (7 / 1)
1,2,丌,3,下基也，薦物之丌。象形。凡丌之屬皆从丌。讀若箕，同。 〔居之切〕 (99 / 94)
1,3,不,4,鳥飛上翔，不下來也。从一。一，猶天也。象形。凡不之屬皆从不。 〔方久切〕 (247 / 247)
1,3,与,4,賜予也。一勺爲与。此与與同。 〔余呂切〕 (299 / 300)
1,3,丏,4,不見也。象壅蔽之形。凡丏之屬皆从丏。 〔彌兖切〕 (184 / 181)
1,3,丐,4,气也。逯安說：亡人爲匃。 〔古代切〕 (267 / 268)
1,3,丑,4,紐也。十二月萬物動，用事，象手之形，時加丑，亦舉手時也。凡丑之屬皆从丑。 〔敕九切〕 (310 / 312)
1,3,冇,4,
1,4,且,5,薦也。从几，足有二橫，一其下地也。凡且之屬皆从且。 〔子余切，又千也切〕 (299 / 301)
1,4,丕,5,大也。从一，不聲。 〔𢾭悲切〕 (7 / 1)
1,4,世,5,三十年爲一世。从卅而曳長之，亦取其聲也。 〔舒制切〕 (51 / 45)
1,4,丘,5,土之高也，非人所爲也。从北从一。一，地也。人居在丘南，故从北。中邦之居，在崐崘東南。一曰：四方高中央下爲丘。象形。凡丘之屬皆从丘。𡊣，古文从土。 〔去鳩切〕 【今隸變作丘。】 (169 / 166)
1,4,丙,5,位南方。萬物成炳然，陰气初起，陽气將虧。从一、入、冂。一者，陽也。丙承乙，象人肩。凡丙之屬皆从丙。 【徐鍇曰：陽功成，入於冂。冂，門也，天地陰陽之門也。】 〔兵永切〕 (308 / 310)
1,5,丞,6,翊也。从廾从卩从山，山高奉承之義。 〔署陵切〕 (59 / 53)
1,5,丟,6,
1,7,並,8,倂也。从二立。凡並之屬皆从並。 〔蒲迥切〕 (216 / 216)
2,2,丫,3,
2,3,中,4,內也。从口、丨，上下通。𠁧，古文中。𠁩，籀文中。 〔陟弓切〕 (14 / 8)
2,3,丮,4,持也。象手有所丮據也。凡丮之屬皆从丮。讀若𢧢。 〔几劇切〕 (63 / 57)
2,3,丯,4,艸蔡也。象艸生之散亂也。凡丯之屬皆从丯。讀若介。 〔古拜切〕 (93 / 87)
2,3,丰,4,艸盛𡴀𡴀也。从生，上下達也。 〔𢾭容切〕 (127 / 123)
2,4,丱,5,
2,6,串,7,
2,7,丳,8,
3,2,丸,3,圜傾側而轉者。从反仄。凡丸之屬皆从丸。 〔胡官切〕 (194 / 192)
3,3,丹,4,巴越之赤石也。象采丹井，一象丹形。凡丹之屬皆从丹。𠮚，古文丹。㣋，亦古文丹。 〔都寒切〕 (106 / 101)
3,4,主,5,鐙中火主也。从[凵土]，象形；从丶，丶亦聲。 【臣鉉等曰：今俗別作炷，非是。】 〔之庾切〕 (105 / 100)
3,4,丼,5,八家一井，象構韓形。•，𦉥之象也。古者伯益初作井。凡井之屬皆从井。 〔子郢切〕 (106 / 101)
3,7,丽,7,旅行也。鹿之性，見食急，則必旅行。从鹿，丽聲。《禮》：麗皮納聘。蓋鹿皮也。𠀙，古文。𠧥，篆文麗字。 〔郎計切〕 (203 / 202)
4,1,乂,2,芟艸也。从丿从乀相交。刈，乂或从刀。 〔魚廢切〕 (265 / 266)
4,1,乃,2,曳詞之難也。象气之出難。凡乃之屬皆从乃。𢎧，古文乃。𠄕，籀文乃。 〔奴亥切〕 【臣鉉等曰：今隸書作乃。】 (100 / 95)
4,2,久,3,从後灸之。象人兩脛後有距也。《周禮》曰：久諸牆以觀其橈。凡久之屬皆从久。 〔舉友切〕 (114 / 109)
4,2,乇,3,艸葉也。从垂穗，上貫一，下有根。象形。凡乇之屬皆从乇。 〔陟格切〕 (127 / 123)
4,2,么,3,
